"Alue","Asiakkaan oikeudellinen muoto","2014 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2014 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2014 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2014 20 000 - Kiinteistövero, euroa","2014 20 000 - Verotusarvo, euroa","2014 20 000 - Lukumäärä","2014 5 000 - 19 999 Kiinteistövero, euroa","2014 5 000 - 19 999 Verotusarvo, euroa","2014 5 000 - 19 999 Lukumäärä","2014 1 000 - 4 999 Kiinteistövero, euroa","2014 1 000 - 4 999 Verotusarvo, euroa","2014 1 000 - 4 999 Lukumäärä","2014 500 - 999 Kiinteistövero, euroa","2014 500 - 999 Verotusarvo, euroa","2014 500 - 999 Lukumäärä","2014 170 - 499 Kiinteistövero, euroa","2014 170 - 499 Verotusarvo, euroa","2014 170 - 499 Lukumäärä","2014 - 169 Kiinteistövero, euroa","2014 - 169 Verotusarvo, euroa","2014 - 169 Lukumäärä","2015 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2015 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2015 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2015 20 000 - Kiinteistövero, euroa","2015 20 000 - Verotusarvo, euroa","2015 20 000 - Lukumäärä","2015 5 000 - 19 999 Kiinteistövero, euroa","2015 5 000 - 19 999 Verotusarvo, euroa","2015 5 000 - 19 999 Lukumäärä","2015 1 000 - 4 999 Kiinteistövero, euroa","2015 1 000 - 4 999 Verotusarvo, euroa","2015 1 000 - 4 999 Lukumäärä","2015 500 - 999 Kiinteistövero, euroa","2015 500 - 999 Verotusarvo, euroa","2015 500 - 999 Lukumäärä","2015 170 - 499 Kiinteistövero, euroa","2015 170 - 499 Verotusarvo, euroa","2015 170 - 499 Lukumäärä","2015 - 169 Kiinteistövero, euroa","2015 - 169 Verotusarvo, euroa","2015 - 169 Lukumäärä","2016 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2016 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2016 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2016 20 000 - Kiinteistövero, euroa","2016 20 000 - Verotusarvo, euroa","2016 20 000 - Lukumäärä","2016 5 000 - 19 999 Kiinteistövero, euroa","2016 5 000 - 19 999 Verotusarvo, euroa","2016 5 000 - 19 999 Lukumäärä","2016 1 000 - 4 999 Kiinteistövero, euroa","2016 1 000 - 4 999 Verotusarvo, euroa","2016 1 000 - 4 999 Lukumäärä","2016 500 - 999 Kiinteistövero, euroa","2016 500 - 999 Verotusarvo, euroa","2016 500 - 999 Lukumäärä","2016 170 - 499 Kiinteistövero, euroa","2016 170 - 499 Verotusarvo, euroa","2016 170 - 499 Lukumäärä","2016 - 169 Kiinteistövero, euroa","2016 - 169 Verotusarvo, euroa","2016 - 169 Lukumäärä","2017 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2017 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2017 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2017 20 000 - Kiinteistövero, euroa","2017 20 000 - Verotusarvo, euroa","2017 20 000 - Lukumäärä","2017 5 000 - 19 999 Kiinteistövero, euroa","2017 5 000 - 19 999 Verotusarvo, euroa","2017 5 000 - 19 999 Lukumäärä","2017 1 000 - 4 999 Kiinteistövero, euroa","2017 1 000 - 4 999 Verotusarvo, euroa","2017 1 000 - 4 999 Lukumäärä","2017 500 - 999 Kiinteistövero, euroa","2017 500 - 999 Verotusarvo, euroa","2017 500 - 999 Lukumäärä","2017 170 - 499 Kiinteistövero, euroa","2017 170 - 499 Verotusarvo, euroa","2017 170 - 499 Lukumäärä","2017 - 169 Kiinteistövero, euroa","2017 - 169 Verotusarvo, euroa","2017 - 169 Lukumäärä","2018 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2018 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2018 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2018 20 000 - Kiinteistövero, euroa","2018 20 000 - Verotusarvo, euroa","2018 20 000 - Lukumäärä","2018 5 000 - 19 999 Kiinteistövero, euroa","2018 5 000 - 19 999 Verotusarvo, euroa","2018 5 000 - 19 999 Lukumäärä","2018 1 000 - 4 999 Kiinteistövero, euroa","2018 1 000 - 4 999 Verotusarvo, euroa","2018 1 000 - 4 999 Lukumäärä","2018 500 - 999 Kiinteistövero, euroa","2018 500 - 999 Verotusarvo, euroa","2018 500 - 999 Lukumäärä","2018 170 - 499 Kiinteistövero, euroa","2018 170 - 499 Verotusarvo, euroa","2018 170 - 499 Lukumäärä","2018 - 169 Kiinteistövero, euroa","2018 - 169 Verotusarvo, euroa","2018 - 169 Lukumäärä","2019 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2019 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2019 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2019 20 000 - Kiinteistövero, euroa","2019 20 000 - Verotusarvo, euroa","2019 20 000 - Lukumäärä","2019 5 000 - 19 999 Kiinteistövero, euroa","2019 5 000 - 19 999 Verotusarvo, euroa","2019 5 000 - 19 999 Lukumäärä","2019 1 000 - 4 999 Kiinteistövero, euroa","2019 1 000 - 4 999 Verotusarvo, euroa","2019 1 000 - 4 999 Lukumäärä","2019 500 - 999 Kiinteistövero, euroa","2019 500 - 999 Verotusarvo, euroa","2019 500 - 999 Lukumäärä","2019 170 - 499 Kiinteistövero, euroa","2019 170 - 499 Verotusarvo, euroa","2019 170 - 499 Lukumäärä","2019 - 169 Kiinteistövero, euroa","2019 - 169 Verotusarvo, euroa","2019 - 169 Lukumäärä","2020 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2020 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2020 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2020 20 000 - Kiinteistövero, euroa","2020 20 000 - Verotusarvo, euroa","2020 20 000 - Lukumäärä","2020 5 000 - 19 999 Kiinteistövero, euroa","2020 5 000 - 19 999 Verotusarvo, euroa","2020 5 000 - 19 999 Lukumäärä","2020 1 000 - 4 999 Kiinteistövero, euroa","2020 1 000 - 4 999 Verotusarvo, euroa","2020 1 000 - 4 999 Lukumäärä","2020 500 - 999 Kiinteistövero, euroa","2020 500 - 999 Verotusarvo, euroa","2020 500 - 999 Lukumäärä","2020 170 - 499 Kiinteistövero, euroa","2020 170 - 499 Verotusarvo, euroa","2020 170 - 499 Lukumäärä","2020 - 169 Kiinteistövero, euroa","2020 - 169 Verotusarvo, euroa","2020 - 169 Lukumäärä","2021 Maksuunpantu kiinteistövero yhteensä Kiinteistövero, euroa","2021 Maksuunpantu kiinteistövero yhteensä Verotusarvo, euroa","2021 Maksuunpantu kiinteistövero yhteensä Lukumäärä","2021 20 000 - Kiinteistövero, euroa","2021 20 000 - Verotusarvo, euroa","2021 20 000 - Lukumäärä","2021 5 000 - 19 999 Kiinteistövero, euroa","2021 5 000 - 19 999 Verotusarvo, euroa","2021 5 000 - 19 999 Lukumäärä","2021 1 000 - 4 999 Kiinteistövero, euroa","2021 1 000 - 4 999 Verotusarvo, euroa","2021 1 000 - 4 999 Lukumäärä","2021 500 - 999 Kiinteistövero, euroa","2021 500 - 999 Verotusarvo, euroa","2021 500 - 999 Lukumäärä","2021 170 - 499 Kiinteistövero, euroa","2021 170 - 499 Verotusarvo, euroa","2021 170 - 499 Lukumäärä","2021 - 169 Kiinteistövero, euroa","2021 - 169 Verotusarvo, euroa","2021 - 169 Lukumäärä"
"000 - Koko maa","YHTEENSÄ",1535084557,-,2061137,627747303,-,6406,250331798,-,25240,185130472,-,85596,96979505,-,141574,265878829,-,918857,109016651,-,1037176,1629597709,-,2069640,679216152,-,6963,265657142,-,26646,195743043,-,90808,105025578,-,153505,278523104,-,953379,105432692,-,997804,1675297726,-,2076839,702461735,-,7207,275110045,-,27450,199580003,-,92793,109382173,-,159917,284658553,-,970164,104105217,-,981820,1794455785,-,2085113,780085114,-,8065,291460607,-,28985,210431770,-,98075,117608867,-,172063,293540479,-,992058,101328947,-,953261,1833791146,-,2091509,808963337,-,8291,296366768,-,29439,212603710,-,99012,118679469,-,173536,295591357,-,998018,101586505,-,952746,1907576719,-,2096052,859189307,-,8936,306196950,-,30264,216544891,-,101159,123905799,-,181183,301981410,-,1014296,99758362,-,933136,1939835914,239730849094,2118519,877056684,90942741005,9131,312825056,43855618821,30863,218672708,29684999270,102340,126406536,16757355503,184954,305570499,44074396675,1023260,99304430,14415737819,942005,1992684302,240664556672,2126797,915112027,92492985579,9555,319200494,43718397218,31497,222289374,29617896253,104205,129628206,16878268534,189513,306831774,43631956019,1025452,99622427,14325053069,944409
"000 - Koko maa","Henkilöasiakkaat",490269177,-,1913279,1976393,-,41,5761121,-,733,40015004,-,24457,76142703,-,114200,258568689,-,897885,107805266,-,1024539,515678610,-,1920768,2326718,-,49,6714552,-,830,45963639,-,28122,84846052,-,127070,271561703,-,933387,104265945,-,985622,527141436,-,1926899,2061951,-,54,7023820,-,868,48044961,-,29419,89268837,-,133588,277778494,-,950447,102963372,-,969881,551089580,-,1933628,2344420,-,62,8377385,-,1041,55223500,-,33681,98017165,-,146450,286917100,-,973069,100210009,-,941551,554978844,-,1938546,2278407,-,58,8500232,-,1058,55849950,-,33996,98975907,-,147752,288901972,-,978892,100472376,-,941074,567410443,-,1941481,2611315,-,68,8604691,-,1068,57976010,-,35444,104204136,-,155420,295370983,-,995501,98643308,-,921564,573145802,78508118357,1961744,2359929,205538034,66,8495382,742356407,1051,58518301,6341419949,35870,106623610,13921714871,159082,298972912,43221019488,1004521,98175668,14076069609,929819,580250013,78282314122,1966653,2418182,208368985,62,9009123,769046609,1099,60554217,6468440547,37124,109848886,14091432988,163660,300025331,42758326265,1006045,98394275,13986698728,931064
"000 - Koko maa","Asunto-osakeyhtiöt",313015269,-,82389,49941113,-,1675,152565844,-,16503,96511384,-,41985,11817731,-,15691,2092561,-,5667,86635,-,884,337101869,-,83176,60743643,-,2034,163716516,-,17502,99515893,-,42978,11155392,-,14755,1891366,-,5110,79059,-,811,345091082,-,83965,62421552,-,2100,169286535,-,18054,100351445,-,43340,11076263,-,14642,1880766,-,5073,74522,-,770,378724840,-,84859,82950946,-,2708,180811708,-,19062,102606622,-,43809,10570370,-,13939,1715033,-,4624,70160,-,731,387050189,-,85852,86833893,-,2820,184203056,-,19321,103488185,-,44172,10707186,-,14141,1748600,-,4708,69268,-,713,409482189,-,86796,102773192,-,3285,189932845,-,19812,104412446,-,44526,10616347,-,14002,1680212,-,4519,67148,-,673,417339675,67527898311,87766,105449431,15748616881,3394,193923636,31773891406,20130,105583178,17840465420,44993,10643183,1845256677,14039,1670639,295516358,4494,69608,24151569,741,426303805,67462311432,88300,111510357,16317546361,3573,196221700,31403557898,20301,106331760,17631637133,45333,10487144,1790645736,13838,1683705,295172005,4535,69139,23752300,743
"000 - Koko maa","Osakeyhtiöt",307052189,-,29136,236953621,-,1355,38837748,-,3166,23323323,-,8942,4637658,-,5839,2727506,-,7789,572333,-,5609,328909679,-,29457,256536070,-,1441,40017088,-,3297,24455612,-,9336,4685695,-,5899,2659852,-,7610,555363,-,5491,342853369,-,29811,267581730,-,1529,42279195,-,3422,25059548,-,9546,4725455,-,5952,2657712,-,7565,549728,-,5441,362020370,-,30407,283789947,-,1620,44176731,-,3610,26086886,-,9962,4778298,-,6028,2646646,-,7511,541863,-,5343,372206087,-,31022,292273650,-,1663,45180113,-,3725,26641909,-,10176,4851869,-,6102,2711282,-,7676,547263,-,5422,384140027,-,31396,302020795,-,1697,46748783,-,3840,27146774,-,10430,4946480,-,6251,2723085,-,7614,554110,-,5373,389910866,35610232307,32156,306610359,27500574016,1741,47625114,4571558878,3944,27328212,2626175551,10604,5008990,531171843,6329,2774408,299326546,7756,563785,81425474,5647,402490850,35940545430,32826,318417316,27882474008,1799,47699334,4501762453,4029,27871093,2647905343,10770,5081509,534616299,6406,2838753,304844944,7917,582844,68942384,5815
"000 - Koko maa","Keskinäiset kiinteistöosakeyhtiöt",201679118,-,12988,160848428,-,2163,27114040,-,2684,11927955,-,4949,1391343,-,1873,365804,-,1033,31548,-,345,214967220,-,13291,172469257,-,2237,28280656,-,2807,12437087,-,5117,1404396,-,1885,345973,-,982,29852,-,333,218297135,-,13459,174701185,-,2265,29139584,-,2884,12674400,-,5196,1409802,-,1881,343510,-,972,28654,-,321,247921763,-,13863,202173997,-,2423,30879058,-,3057,13136408,-,5367,1383137,-,1845,319978,-,905,29185,-,318,256167912,-,14180,208992926,-,2452,31974455,-,3178,13439889,-,5493,1398802,-,1868,332317,-,935,29524,-,318,278976422,-,14557,229632990,-,2601,33890412,-,3375,13699778,-,5559,1403051,-,1867,321647,-,905,28543,-,312,288404158,28257912775,15064,236540193,23037236878,2683,35807399,3574511457,3554,14267126,1445836918,5756,1438781,159410241,1913,321563,37358186,908,29095,3559095,317,307862002,29388059001,15804,252021251,23781437443,2857,39380238,3942474202,3887,14634874,1463644842,5915,1459149,158448058,1940,337142,38521577,946,29348,3532879,322
"000 - Koko maa","Muut kiinteistöosakeyhtiöt",72526971,-,8491,51683917,-,596,12255219,-,1135,6710796,-,2824,1184285,-,1625,629239,-,1862,63515,-,680,77976944,-,8408,56331840,-,614,13034665,-,1178,6790831,-,2846,1157146,-,1596,602004,-,1775,60459,-,636,81206121,-,8419,59388304,-,637,13075616,-,1189,6950800,-,2893,1156108,-,1598,575697,-,1710,59595,-,625,86390429,-,8236,64532345,-,640,13239459,-,1204,6877391,-,2859,1140432,-,1561,544739,-,1614,56064,-,597,90174264,-,8156,68415116,-,675,13208262,-,1183,6858835,-,2850,1107010,-,1522,530062,-,1570,54978,-,598,89417744,-,7999,67717104,-,651,13161087,-,1182,6891742,-,2867,1089571,-,1497,506350,-,1494,51890,-,564,92127088,11904116295,7997,69988201,9398096654,646,13709273,1601778074,1229,6793874,712084918,2860,1089736,113812113,1492,494126,55302033,1461,51879,23042502,566,92549780,11767366698,7898,70382255,9296667477,650,13838788,1595627900,1250,6729269,689780897,2828,1068568,109645910,1457,480678,53290358,1424,50222,22354156,549
"000 - Koko maa","Julkisyhteisöt ja niiden liikelaitokset",75445942,-,232,73205177,-,102,1501311,-,49,572123,-,63,89387,-,49,55432,-,57,22511,-,95,78202491,-,225,76048720,-,99,1423122,-,50,557807,-,59,95233,-,45,55772,-,57,21836,-,87,79650394,-,225,77514493,-,99,1453067,-,49,515956,-,58,92645,-,41,51665,-,53,22566,-,90,83740302,-,224,81586757,-,95,1490396,-,51,511959,-,58,79672,-,36,49299,-,55,22217,-,92,85971445,-,220,83935821,-,96,1366669,-,49,521463,-,58,72357,-,31,53393,-,61,21742,-,89,86053564,-,218,83993714,-,94,1349482,-,51,554966,-,56,82136,-,36,52456,-,56,20810,-,91,89372771,8077587986,223,87360466,7859243946,90,1323633,141428401,48,527465,56404237,52,83196,8664204,37,54800,6492024,55,23211,5355175,104,89805804,7964068256,224,87618860,7734043040,89,1470445,152167509,49,559123,58359283,60,85276,8902524,36,50524,5597447,56,21577,4998452,100
"000 - Koko maa","Seurakunnat",15155484,-,488,11910099,-,130,2431778,-,207,687497,-,148,91045,-,78,29851,-,73,5214,-,51,15686177,-,481,12513820,-,136,2386681,-,205,663603,-,135,86092,-,71,31184,-,78,4797,-,51,15888830,-,477,12769217,-,134,2345963,-,201,652429,-,133,86388,-,72,30257,-,76,4576,-,49,16886092,-,469,13628136,-,134,2504450,-,204,638394,-,133,82490,-,71,28500,-,72,4122,-,43,16842950,-,474,13549952,-,138,2545731,-,206,628476,-,134,85505,-,72,29226,-,74,4059,-,42,17129527,-,469,13858059,-,144,2523423,-,200,628545,-,136,87062,-,74,28521,-,72,3916,-,41,17147274,1583613387,471,13968655,1275828305,148,2429635,232904918,192,629724,61709316,139,83214,8835012,72,31650,3729042,76,4397,606793,45,17579130,1577367941,464,14358263,1269682000,149,2499305,236166230,192,602954,58272725,127,84972,8959405,70,29595,3664751,69,4041,622830,42
"000 - Koko maa","Muut",59940409,-,14134,41228555,-,344,9864738,-,763,5382391,-,2228,1625351,-,2219,1409746,-,4491,429627,-,4973,61074719,-,13834,42246084,-,353,10083862,-,777,5358572,-,2215,1595571,-,2184,1375250,-,4380,415381,-,4773,65169360,-,13584,46023301,-,389,10506264,-,783,5330464,-,2208,1566674,-,2143,1340452,-,4268,402205,-,4643,67682409,-,13427,49078565,-,383,9981421,-,756,5350610,-,2206,1557304,-,2133,1319182,-,4208,395327,-,4586,70399456,-,13059,52683571,-,389,9388249,-,719,5175003,-,2133,1480833,-,2048,1284505,-,4102,387295,-,4490,74966802,-,13136,56582139,-,396,9986227,-,736,5234630,-,2141,1477016,-,2036,1298155,-,4135,388636,-,4518,72388279,8261369676,13098,54779451,5917606292,363,9510984,1217189282,715,5024828,600902962,2066,1435827,168490542,1990,1250401,155652998,3989,386788,201527601,4766,75842917,8282523793,14628,58385542,6002766265,376,9081562,1117594417,690,5006084,599855483,2048,1512701,175617615,2106,1386047,172538674,4460,470981,214151340,5774
"01 - Uusimaa","YHTEENSÄ",492267074,-,318115,255243054,-,2919,93116112,-,9123,56436025,-,27769,30051327,-,43396,48332009,-,159782,9088548,-,84065,537449370,-,320759,284217454,-,3271,100666208,-,9734,61376538,-,30214,32952076,-,47663,49968738,-,162617,8268357,-,76419,546212008,-,323227,289827324,-,3344,102720710,-,9877,61732515,-,30322,33200364,-,48054,50415603,-,164150,8315493,-,76808,613539039,-,325748,342735758,-,3954,108307818,-,10391,68024387,-,33293,35826185,-,51907,50859626,-,163870,7785265,-,71928,623347914,-,328436,350422774,-,4049,109267823,-,10461,68430447,-,33417,35924632,-,52043,51470021,-,166047,7832217,-,72117,649691789,-,330847,375479829,-,4447,108908347,-,10424,68801985,-,33638,36658273,-,53134,52066309,-,167519,7777046,-,71535,659575624,87278405540,334716,381983431,46512258639,4518,110634785,17080627565,10557,69271254,9479464126,33829,37033062,5054540888,53739,52946884,7897464017,169705,7706208,1254050305,72165,694921273,88099793170,338391,408533176,47613781338,4794,113738607,16972569693,10838,72232013,9496623000,35407,39574395,5183357441,57465,53289768,7634174398,168877,7553313,1199287300,71022
